file_name,sensor_distance_km,snr_2_5,snr_5_5
34163481_2023-02-21T05.15.35.191097Z_WS.POZA.S2.DN1.MSEED,7.323020847908365,3.4242044466357546,3.3919859015959046
34163481_2023-02-21T05.15.35.191190Z_WS.POZA.S5.DN1.MSEED,7.323020847908365,3.5559000122335664,3.4757477047127456
34163481_2023-02-21T05.15.35.193431Z_WS.POZA.S3.DN1.MSEED,7.323020847908365,4.533709715439786,4.520219686048142
34163561_2023-02-21T05.33.59.897899Z_WS.POZA.S4.DN1.MSEED,6.314890713449766,1.4423649548205053,1.3680061323396122
34163561_2023-02-21T05.33.59.898424Z_WS.POZA.S6.DN1.MSEED,6.314890713449766,1.2128263289981733,1.1922702198184942
34163561_2023-02-21T05.33.59.899097Z_WS.POZA.S2.DN1.MSEED,6.314890713449766,1.1268487829016303,1.0577313358507008
34163561_2023-02-21T05.33.59.899190Z_WS.POZA.S5.DN1.MSEED,6.314890713449766,1.2017368587621673,1.1938227533487527
34163561_2023-02-21T05.33.59.901431Z_WS.POZA.S3.DN1.MSEED,6.314890713449766,1.097389672691588,1.0632116934334268
34164401_2023-02-21T07.13.34.333420Z_WS.POZA.S3.DN1.MSEED,6.083439673439743,1.4415822418158641,1.4895881278228533
34167831_2023-02-21T15.08.01.278424Z_WS.POZA.S6.DN1.MSEED,6.391002295582994,1.3486728385563622,1.3434739183726192
34167831_2023-02-21T15.08.01.279429Z_WS.POZA.S3.DN1.MSEED,6.391002295582994,1.560413384199459,1.5494864311960892
34167831_2023-02-21T15.08.01.279469Z_WS.POZA.S4.DN1.MSEED,6.391002295582994,1.739794218623269,1.6811849333449123
34167831_2023-02-21T15.08.01.279496Z_WS.POZA.S5.DN1.MSEED,6.391002295582994,1.352128741921318,1.3723902020169891
34167831_2023-02-21T15.08.01.281277Z_WS.POZA.S2.DN1.MSEED,6.391002295582994,1.3452231193207516,1.335649828377929
34168201_2023-02-21T16.15.27.910539Z_WS.POZA.S4.DN1.MSEED,6.025129335429446,1.2822407384289567,1.3951448209468331
34168201_2023-02-21T16.15.27.910842Z_WS.POZA.S2.DN1.MSEED,6.025129335429446,1.0547943110356237,1.1349070757977016
34168201_2023-02-21T16.15.27.910939Z_WS.POZA.S5.DN1.MSEED,6.025129335429446,1.1113431629239396,1.2565128617902055
34168201_2023-02-21T16.15.27.911567Z_WS.POZA.S3.DN1.MSEED,6.025129335429446,1.7479957081922952,1.8431818111816787
34168201_2023-02-21T16.15.27.912761Z_WS.POZA.S6.DN1.MSEED,6.025129335429446,1.389338141193105,1.4713559248320291
34172441_2023-02-22T06.35.22.487872Z_WS.POZA.S4.DN1.MSEED,6.01965960348293,1.1343522839837812,1.1609900902665793
34174151_2023-02-22T10.07.36.286271Z_WS.POZA.S3.DN1.MSEED,6.3925228777619765,3.7639281735308496,2.9599159128515407
34174151_2023-02-22T10.07.36.286508Z_WS.POZA.S2.DN1.MSEED,6.3925228777619765,2.513742619680664,1.694582255675593
34174151_2023-02-22T10.07.36.288240Z_WS.POZA.S6.DN1.MSEED,6.3925228777619765,2.8593075800293275,2.647244740684062
34174151_2023-02-22T10.07.36.288368Z_WS.POZA.S5.DN1.MSEED,6.3925228777619765,2.3034596856361587,1.8093667738765993
34174151_2023-02-22T10.07.36.289865Z_WS.POZA.S4.DN1.MSEED,6.3925228777619765,3.8055020143699183,2.8975350827316766
34175971_2023-02-22T13.57.07.048729Z_WS.POZA.S3.DN1.MSEED,6.633105200362176,0.8394732174700915,0.7010313217433303
34178151_2023-02-22T20.46.05.458931Z_WS.POZA.S3.DN1.MSEED,6.782977953962208,1.7458449942852952,1.7034405425932262
34178151_2023-02-22T20.46.05.458935Z_WS.POZA.S6.DN1.MSEED,6.782977953962208,1.491275090458105,1.4370104765892198
34178151_2023-02-22T20.46.05.459952Z_WS.POZA.S5.DN1.MSEED,6.782977953962208,1.3743848568768184,1.3297339423624779
34181001_2023-02-23T04.55.32.357796Z_WS.POZA.S2.DN1.MSEED,6.710941632729294,1.2006422078027068,1.218700127777716
34181001_2023-02-23T04.55.32.358555Z_WS.POZA.S4.DN1.MSEED,6.710941632729294,1.3598036302381733,1.387234863949116
34181001_2023-02-23T04.55.32.358953Z_WS.POZA.S6.DN1.MSEED,6.710941632729294,1.1382495107190054,1.0937476282323615
34181001_2023-02-23T04.55.32.359040Z_WS.POZA.S3.DN1.MSEED,6.710941632729294,1.2220476648398622,1.2264195793575479
34181001_2023-02-23T04.55.32.360655Z_WS.POZA.S5.DN1.MSEED,6.710941632729294,1.176496625881839,1.2025646408297936
34198511_2023-02-25T10.39.33.498834Z_WS.POZA.S5.DN1.MSEED,5.874619469153478,1.8788265163496842,1.8393391820208669
34198511_2023-02-25T10.39.33.499496Z_WS.POZA.S6.DN1.MSEED,5.874619469153478,1.8633757539774654,1.8391581987161016
34198511_2023-02-25T10.39.33.501101Z_WS.POZA.S2.DN1.MSEED,5.874619469153478,2.2990732816148065,1.71525524766161
34198511_2023-02-25T10.39.33.501333Z_WS.POZA.S4.DN1.MSEED,5.874619469153478,3.55667461872961,3.125447899335311
34198511_2023-02-25T10.39.33.502376Z_WS.POZA.S3.DN1.MSEED,5.874619469153478,2.4643159024816623,2.2413568663154737
