File,Trace ID,P-Pick Time,S1 Mean,S1 Median,S1 Mode,S1 Std Dev,S1 Skewness,S1 Kurtosis,S1 Variance,S1 Max,S1 Min,S1 Z-Score,S2 Mean,S2 Median,S2 Mode,S2 Std Dev,S2 Skewness,S2 Kurtosis,S2 Variance,S2 Max,S2 Min,S2 Z-Score,S3 Mean,S3 Median,S3 Mode,S3 Std Dev,S3 Skewness,S3 Kurtosis,S3 Variance,S3 Max,S3 Min,S3 Z-Score
34163481_2023-02-21T05.15.35.191097Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T05:15:57.060000Z,0.00014007896598091282,0.0002252899524163604,0.00026277210403450224,0.0011029882531144544,-0.22420856129571243,0.00897536201350757,1.2165830865084755e-06,0.0029111203793202893,-0.0033448849892339584,2.1316282072803006e-17,-2.8787497597713445e-05,0.00014798301470338515,-0.0005430941557600091,0.0033486422128706354,-0.2045995769743253,0.07418235726292233,1.1213404669819144e-05,0.00809302784055963,-0.010829602140526832,3.907985046680551e-17,-0.00019315610298217156,-0.00019755557052886957,-0.0008499792721352185,0.007130324326608354,-0.03171735318768297,3.405841261158904,5.0841525002622874e-05,0.026209791561851582,-0.02284263173421491,-7.105427357601002e-18
34163481_2023-02-21T05.15.35.191190Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T05:15:56.921000Z,-7.263103149052128e-05,-0.00016821988865482808,-0.0009740861484504547,0.0011470035514450972,0.3629081443141116,0.16143214849381815,1.3156171470276658e-06,0.0040157252857447945,-0.0028938751016535902,0.0,-0.00019266293677944128,-1.4777330467780984e-05,-0.0022789335516642676,0.003215416257908086,-0.1263601668381311,0.5919394129771205,1.033890171161964e-05,0.009312421836316368,-0.012411998978244044,2.3092638912203255e-17,8.567952113860233e-05,0.00011933849329185875,-0.0023948939582342883,0.005627152112641567,0.04112128927552932,2.693306410854217,3.166484089880645e-05,0.020442278232495843,-0.01797692717633378,-2.842170943040401e-17
34163481_2023-02-21T05.15.35.193431Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T05:15:57.069000Z,-8.377974999715702e-05,-2.0980747595382355e-05,-0.0005966831701087654,0.0012129577556329978,-0.2204791285234862,0.1584230115752847,1.4712665169502393e-06,0.002857531364971533,-0.004665253596558377,0.0,2.1531040243619348e-05,0.0002859043687803847,0.0041243109579494255,0.006374564947724915,-0.07200187983019476,-0.356758151361821,4.063507827276315e-05,0.0183253611523588,-0.016410051542727174,4.263256414560601e-17,-8.83286424185406e-07,0.00032455783763687236,-0.0019401840421796237,0.013441713321180182,-0.2965519619731334,1.8187668962722556,0.00018067965700879277,0.03958886863373695,-0.04074416716371632,5.3290705182007515e-18
34163561_2023-02-21T05.33.59.897899Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-21T05:34:21.731000Z,0.0001854762306082351,1.285218133017338e-05,-0.0008316675473213832,0.0011606706254622744,0.28592541011685624,0.00022923286733389503,1.3471563008109873e-06,0.0033909310959352843,-0.0029037277414748932,-5.329070518200751e-17,-4.900302730427422e-06,-0.00012126364242946636,-0.000869149698939525,0.0026200294825126243,-0.16529751758088407,-0.039147109894026144,6.864554489235369e-06,0.007229337685103767,-0.007740096617481979,0.0,7.581253758507531e-06,1.285218133017338e-05,-0.00010193690800094373,0.002453761790195486,0.04751752723683597,-0.5256453067091238,6.020946923023356e-06,0.0065382605146403735,-0.006281806656080004,-3.1974423109204506e-17
34163561_2023-02-21T05.33.59.898424Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,2023-02-21T05:34:21.686000Z,2.556119708135385e-05,7.399047960669179e-05,0.0002086919619852256,0.0011602149048669285,-0.04255610407284537,-0.08309453788585719,1.346098625475376e-06,0.003240646632740303,-0.0030926656735269197,2.842170943040401e-17,1.1322047640759946e-06,-4.109143903387235e-05,-0.0010580876309915516,0.00197463216482975,0.2298629508285777,-0.0454985464061175,3.899172186380226e-06,0.005658831070743846,-0.004666330382878906,-1.4210854715202004e-17,0.00015698064855884699,5.4663745178169165e-05,-0.0003675961191470515,0.0018234464105205777,0.500814536143024,1.1896879972450085,3.324956812040379e-06,0.008575410993548912,-0.0038985319333214308,1.4210854715202004e-17
34163561_2023-02-21T05.33.59.899097Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T05:34:21.731000Z,5.40246311341106e-05,7.184739422819804e-05,0.0004548681310785947,0.001132049203201108,-0.06599351515958285,0.44785942186969896,1.2815353984682638e-06,0.0035635440809277537,-0.003766559194940285,1.4210854715202004e-17,-1.7069639948039424e-05,-4.41130123407072e-05,-0.0014637495048867527,0.00199927567624643,0.15171057354414078,-0.1011696832099851,3.997103229630619e-06,0.006020967646407235,-0.004879310571110006,3.552713678800501e-17,-5.1651610084931654e-05,-5.4595434847772135e-06,-0.0009261148926104056,0.0018886509756862986,-0.24740913305381396,-0.05829080321412938,3.567002507960808e-06,0.004830909332523424,-0.005416945183386352,-2.1316282072803006e-17
34163561_2023-02-21T05.33.59.899190Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T05:34:21.565000Z,-2.5206739155428588e-05,-0.00011082534398982717,-0.00039896938455596573,0.0010724227227342596,-0.11094763961447089,0.4106726970445074,1.1500904962367627e-06,0.002940456061193215,-0.003775876981923289,-3.375077994860476e-17,-2.980298799760658e-05,-3.410406489574598e-05,-0.00020687335751187335,0.0021422259382567472,-0.21632793595056096,0.3712857153701705,4.589131970540002e-06,0.00570359342581012,-0.006501532194922051,1.7763568394002505e-18,7.22983930108587e-05,0.00010001175886333614,-0.0005137584738870828,0.0017963779359516884,0.0866656977814232,0.3675301170648373,3.2269736887740484e-06,0.0058956894528542116,-0.005464916439226401,3.552713678800501e-17
34163561_2023-02-21T05.33.59.901431Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T05:34:21.743000Z,6.360241280074017e-05,-2.0980747595382355e-05,-0.0014412028987603217,0.0013107511129091822,0.2809279782179157,-0.5637944763480789,1.71806847999266e-06,0.0037401189038612404,-0.002669329022880054,0.0,-8.255220953164281e-05,-0.00021307677463947472,0.00013246181059278002,0.0038428998762947814,0.0889135564238078,0.01577832936051049,1.4767879459226446e-05,0.011071393496967067,-0.010614373848737415,1.2434497875801754e-17,3.639974126370653e-05,-7.866812157038794e-05,0.0017441943301829178,0.003262227860939302,-0.16445502199221243,0.8328527450451255,1.0642130616688615e-05,0.009574450066708045,-0.012648951891271668,-4.3076653355456075e-17
34164401_2023-02-21T07.13.34.333420Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T07:13:56.204000Z,-8.551577619642037e-05,5.083726348752407e-05,0.00022360655610365144,0.0012710658052228672,-0.24575879884033944,0.2665107843590375,1.6156082812068557e-06,0.003486310722758751,-0.004267223734672296,1.4210854715202004e-17,-7.56767113965733e-05,-6.557281177476852e-06,-0.0012733368741553693,0.0021850391123183726,-0.048649939285256794,0.17681765777213654,4.774395922361063e-06,0.005981216439856375,-0.006800197262006957,-3.552713678800501e-18,-0.00025959694411894623,-0.00019836047891267982,-0.004766204878091597,0.0029256273375157277,-0.0898348511812516,0.8656282086295866,8.559295318019365e-06,0.009934412118357092,-0.009908873211856115,-3.552713678800501e-18
34167831_2023-02-21T15.08.01.278424Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,2023-02-21T15:08:23.051000Z,0.00013773013657814782,9.706902997565862e-05,-5.637352821250375e-05,0.0012403384268229087,-0.033707996137127695,0.4455762963456884,1.5384394130535281e-06,0.004165639456426385,-0.0032804242260105585,-3.552713678800501e-18,-7.227399536943596e-06,2.034775088157744e-05,0.0010183100377212963,0.002563334252884676,-0.20529615039395496,0.7579742454845642,6.570682492011839e-06,0.007696575270600764,-0.009037448451145505,1.7763568394002505e-17,-0.00013632998551744942,-7.540743333102172e-05,-0.0010924036252881433,0.0019368699475185293,-0.0815875466176254,-0.10734658327641444,3.7514651936004306e-06,0.005393765580546117,-0.005545166105827054,1.4210854715202004e-17
34167831_2023-02-21T15.08.01.279429Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T15:08:23.051000Z,-2.665699974007589e-05,-3.658508465021782e-05,0.0005004638690072352,0.0013252771520360876,-0.16185525679314736,0.0983202658675344,1.7563595297088834e-06,0.003110744334054871,-0.004527415375426165,0.0,0.00013130684298656869,-0.0001135991930531884,-0.0002286811116943102,0.0043558658240079205,0.051917393599058864,0.3424068576998667,1.8973567076760203e-05,0.013588762687246892,-0.011589287003774923,-1.687538997430238e-17,-1.8392185308253333e-05,-7.523855350614782e-05,-0.006561407759341524,0.0036877479880662437,0.17779410652812042,0.028130759556596274,1.3599485223486627e-05,0.011516116834474488,-0.00924840950348324,-1.7763568394002505e-18
34167831_2023-02-21T15.08.01.279469Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-21T15:08:23.051000Z,5.1781909262492845e-05,-6.788637910170792e-06,-0.0003716539575703905,0.0011813766221430227,0.19843707989619383,0.13173091383993274,1.395650723346058e-06,0.0036588486586421848,-0.003365540818087317,-2.1316282072803006e-17,-4.6130841302593814e-05,0.00020463412356188656,-0.0022516181246786927,0.003598599077647603,-0.23701624118669193,-0.06479185276630561,1.2949915321646178e-05,0.00895554520921376,-0.010695644093955355,-1.4210854715202004e-17,2.800885459857258e-05,-0.00014090446166925292,-0.0014844053337401111,0.003526072032566531,0.04160223584229266,0.7440153285582616,1.2433183978847866e-05,0.009722758000152341,-0.010695644093955355,1.4210854715202004e-17
34167831_2023-02-21T15.08.01.279496Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T15:08:23.040000Z,-4.670343409144066e-06,-1.6552185472670544e-05,-0.00036209077070381,0.0011976259395183075,-0.14442468061088434,0.08480332445981498,1.4343078910071084e-06,0.003208084170945393,-0.003777651836928178,-2.842170943040401e-17,2.4364268288263116e-05,-5.5205654328600536e-05,0.0016338338029745125,0.0024257744014789463,-0.1362939558369335,0.18271220973085933,5.8843814468705396e-06,0.007851185702671714,-0.007039770344964384,3.1974423109204506e-17,0.0001182992255128176,2.774548955852083e-06,-0.0005916689493660443,0.0018496226763214628,0.0032493482879611007,-0.4564289223262419,3.4211040447625706e-06,0.005740472039662275,-0.00458351809672269,0.0
34167831_2023-02-21T15.08.01.281277Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T15:08:23.062000Z,8.013136920173396e-05,0.00010469623431812238,0.00010469623431812238,0.0012493699718274117,-0.06562415747136102,-0.07441794645638078,1.5609253265040273e-06,0.003789660265299558,-0.0033495183007621757,0.0,-0.00012218322942731568,-0.00012488194434411186,-0.003118768804861038,0.002726587827570406,0.20405736764434004,-0.009302998851674626,7.434281181455106e-06,0.0075894133856121105,-0.007763041653825148,0.0,-9.144317983133649e-05,2.856061384349289e-05,-0.001314940258226808,0.0021203309059945204,-0.22262508236410428,-0.1825785125096524,4.4958031509155435e-06,0.004941065110326324,-0.006343405161279102,0.0
34168201_2023-02-21T16.15.27.910539Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-21T16:15:49.859000Z,-1.9294778285111937e-05,-0.00010497429161567027,-0.0008153781965075871,0.001305864608082062,-0.007119532653600017,0.22007859853580136,1.7052823746413175e-06,0.003444702598367222,-0.004001361084069721,1.7763568394002505e-18,8.124172289328485e-05,0.00018258409033101658,0.0007963543230825508,0.0023790746448887324,-0.24706174927995894,1.4192735041912918,5.659996165952448e-06,0.00758999430391203,-0.008875212111694949,-2.1316282072803006e-17,-2.911041674012733e-05,-2.825301252214672e-05,-0.0010074742235516793,0.004319378994253564,-0.029779883899100152,0.9542311275876987,1.865703489599893e-05,0.013769864051991092,-0.012713618700864548,1.199040866595169e-17
34168201_2023-02-21T16.15.27.910842Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T16:15:49.859000Z,-0.0001598298969609969,-0.00010654901843513017,-0.001104511305274849,0.0013927957701668323,0.12756566134325992,0.07094721070314192,1.9398800573946198e-06,0.005151494063279398,-0.0035232814018972864,-2.1316282072803006e-17,-9.627422362308028e-05,8.240070895986946e-06,0.00035377865612712644,0.0020960318814524795,-0.5293249003478736,1.3352380257001224,4.393349648065221e-06,0.006840533520581397,-0.00839713242952363,3.019806626980426e-17,-0.00012114831649085144,-0.0002225094250051507,-0.0002225094250051507,0.00239509291551913,-0.16608737771536006,1.17705750699578,5.736470073969926e-06,0.007646399780377023,-0.009012073979512952,1.4210854715202004e-17
34168201_2023-02-21T16.15.27.910939Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T16:15:49.859000Z,-0.00012917168254449743,-0.0001596118749275047,-0.000926824665866086,0.0012251490937720455,0.04317043507704044,0.004174761522695469,1.5009903019704645e-06,0.002987717543777584,-0.0040355006157152444,1.4210854715202004e-17,-3.581769866999294e-05,-2.4324733930076835e-05,-0.0011575741617672235,0.001965182617837823,-0.11459471523840063,0.6019995481420533,3.86194272145192e-06,0.005752026225632275,-0.007068040945088101,3.552713678800501e-17,8.039102715380516e-05,0.00012911782425752792,-0.0004664969913027141,0.0018456505516364502,-0.257936235829717,0.7528237249278078,3.406425958755933e-06,0.005367834171544092,-0.006607713270525845,-1.7763568394002505e-17
34168201_2023-02-21T16.15.27.911567Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T16:15:49.853000Z,-0.00012286566982776953,-0.0002232452144960439,-0.001336582249285774,0.0012462950806275072,-0.06300346068268474,-0.322907787608826,1.5532514279963245e-06,0.003038873293540162,-0.003485949381151144,0.0,5.170276606577886e-05,4.498643302323558e-05,-0.0019503524820361931,0.0033381175711386583,0.11333974637041132,1.2042460864493183,1.1143028918744655e-05,0.01205860168532909,-0.012236860466803015,-7.105427357601002e-18,-6.499557036352624e-05,-0.00014681676471196739,-0.0015286782763298664,0.0040378616162760885,0.11498992742176743,0.6886232524499989,1.630432643219575e-05,0.013440756026256995,-0.010471099730406937,0.0
34168201_2023-02-21T16.15.27.912761Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,2023-02-21T16:15:49.859000Z,6.38072082690844e-05,6.776157526506153e-05,-0.00075743141895853,0.001302067616362776,0.07615619873424911,-0.2646035056666203,1.6953800775806412e-06,0.00357995631363037,-0.0031369623881061432,-1.7763568394002505e-18,0.0003392143451885081,0.0004706947051623172,0.0011617718756257115,0.002037074469570141,-0.5141597418108284,3.046788733737128,4.14967239457447e-06,0.008146922224880388,-0.010237487485310831,5.684341886080802e-17,8.330729764855876e-05,0.00029821824185563686,-0.0005272675816762866,0.0020247458500527275,-0.4790609440576136,1.3412952365538207,4.099595757305742e-06,0.005959487282777983,-0.007819888705926183,-2.842170943040401e-17
34172441_2023-02-22T06.35.22.487872Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-22T06:35:44.517000Z,-9.000307126432106e-05,-9.460869064460212e-05,0.001018142685526234,0.0011948973229016478,0.011129773441083339,-0.21559705698384857,1.427779612277525e-06,0.003320952375579766,-0.0030884955511615284,0.0,-8.72247067755828e-05,-1.730175293162688e-05,0.001171585243713281,0.0016234010814043516,-0.0557471189876475,-0.16127322641184128,2.635431071104818e-06,0.004396221600131345,-0.00458543898142055,2.1316282072803006e-17,-9.628601692934666e-05,-5.5955221787556875e-05,-0.0009004749504391134,0.002577842034127711,-0.050524668239075206,0.6054884820255237,6.645269552915694e-06,0.007965225224543876,-0.006696152644429989,7.105427357601002e-18
34174151_2023-02-22T10.07.36.286271Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-22T10:07:58.097000Z,-0.0002599757103677647,-0.00022098255951243006,-0.0015065032282982783,0.0012850271207162035,0.21152543779989239,0.41834554900862075,1.6512947009761763e-06,0.003674818574322169,-0.0041935049724399955,-1.9539925233402754e-17,2.4377947616052803e-05,0.00018224339969483025,-0.0016218779762494048,0.009589401571673543,-0.3809901396319874,1.069915747695398,9.1956622502815e-05,0.029275128129669203,-0.0380463301286385,1.4210854715202004e-17,-2.0305708335775774e-06,-0.00025934319905947066,-0.002888657569226182,0.010187345546484776,0.1225330068913383,0.506513423231528,0.00010378200928348319,0.030503839912408945,-0.027260841000452368,3.019806626980426e-17
34174151_2023-02-22T10.07.36.286508Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-22T10:07:58.080000Z,-9.450618116885945e-05,-2.966674413831811e-05,-2.966674413831811e-05,0.0013524054260029871,-0.09108430229383241,-0.4965938015222915,1.829000436282321e-06,0.003539336880274212,-0.003638495154644567,-7.105427357601002e-18,0.00014112536498008834,-0.0002030216953727819,-0.0035611882169315915,0.005487834977565811,0.1698478545514482,0.32662598473193505,3.0116332740994745e-05,0.01612865455509345,-0.01745535329496576,0.0,-9.300220983516482e-05,0.0002004970931433678,-0.0030235536046552443,0.00543427124782815,-0.06623848392146334,1.360131663007703,2.953130399497172e-05,0.017280059400121332,-0.017608795853153923,7.105427357601002e-18
34174151_2023-02-22T10.07.36.288240Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,2023-02-22T10:07:58.028000Z,-4.204436133397961e-05,-7.988727866154762e-05,-0.0009050802728845816,0.0012255975305425228,0.20958687004572932,0.45171100153634214,1.5020893068719302e-06,0.004506991025635888,-0.0034767072690762876,-4.4408920985006264e-17,-5.71075010156688e-05,-0.0003867723950373147,-0.0009818015519786627,0.005258362132600601,0.17408336346896483,0.6954422576614925,2.7650372317567938e-05,0.017479915095925534,-0.01598930366480256,3.1974423109204506e-17,-0.0002876906698684516,-9.892118378006557e-05,-0.001173897579022755,0.0042317977638412834,-0.37670162491880427,1.4168654550051416,1.7908112314052087e-05,0.011914401239216901,-0.016526352618460013,-1.7763568394002505e-18
34174151_2023-02-22T10.07.36.288368Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-22T10:07:58.078000Z,-7.199938094258058e-05,-9.56974713031218e-05,-0.0005759375389133527,0.0010638256184573023,-0.14123603686125413,-0.4390647541022412,1.1317249464860616e-06,0.0021883711429413395,-0.0031856323453432096,-3.1974423109204506e-17,-0.00011745117504877417,-5.704400244719183e-05,0.0007675633331575058,0.0051771930434745305,0.20313082860436704,0.7535756097403499,2.680332780940107e-05,0.01965153984538804,-0.016350066784056937,-7.105427357601002e-18,-0.00018391171513715916,-0.00015309201596923802,-0.003492517461718419,0.004398121167156375,-0.10071613854215082,0.7242492962458185,1.9343469800988955e-05,0.012896553333414489,-0.015045219380843125,-3.552713678800501e-18
