Before Mean,Before Median,Before Mode,Before Std Dev,Before Skewness,Before Kurtosis,Before Variance,Before Max,Before Min,Before Z-Score,Before Mean MER,Before Max MER,After Mean,After Median,After Mode,After Std Dev,After Skewness,After Kurtosis,After Variance,After Max,After Min,After Z-Score,After Mean MER,After Max MER,earthquake
8.27e-05,0.00012429,0.000200425,0.001199329,-0.086227034,0.246490611,1.44e-06,0.003232966,-0.003828906,-1.42e-17,7.35e-05,9.88e-05,0.000302054,6.63e-05,-0.002331962,0.012463522,-0.020636524,1.333116422,0.000155339,0.038007032,-0.034419027,7.11e-18,0.281400003,0.845922993,1
-2.1e-05,-4.56e-05,0.000453707,0.001155453,-0.091907307,-0.045691966,1.34e-06,0.003293566,-0.003538142,0.0,7.35e-05,9.88e-05,-5.78e-06,-7.21e-06,0.000146236,0.005224783,0.11661338,2.75143685,2.73e-05,0.020795973,-0.017432307,4.26e-17,0.283329273,0.891450905,1
0.000140079,0.00022529,0.000262772,0.001102988,-0.224208561,0.008975362,1.22e-06,0.00291112,-0.003344885,2.13e-17,7.35e-05,9.88e-05,-0.000193156,-0.000197556,-0.000849979,0.007130324,-0.031717353,3.405841261,5.08e-05,0.026209792,-0.022842632,-7.11e-18,0.283329273,0.891450905,1
-7.26e-05,-0.00016822,-0.000974086,0.001147004,0.362908144,0.161432148,1.32e-06,0.004015725,-0.002893875,0.0,7.63e-05,0.000118538,8.57e-05,0.000119338,-0.002394894,0.005627152,0.041121289,2.693306411,3.17e-05,0.020442278,-0.017976927,-2.84e-17,0.327268007,0.903123801,1
-8.38e-05,-2.1e-05,-0.000596683,0.001212958,-0.220479129,0.158423012,1.47e-06,0.002857531,-0.004665254,0.0,7.36e-05,9.96e-05,-8.83e-07,0.000324558,-0.001940184,0.013441713,-0.296551962,1.818766896,0.00018068,0.039588869,-0.040744167,5.33e-18,0.279668427,0.785117622,1
0.000185476,1.29e-05,-0.000831668,0.001160671,0.28592541,0.000229233,1.35e-06,0.003390931,-0.002903728,-5.33e-17,7.34e-05,9.82e-05,7.58e-06,1.29e-05,-0.000101937,0.002453762,0.047517527,-0.525645307,6.02e-06,0.006538261,-0.006281807,-3.2e-17,0.300477899,0.903123801,1
2.56e-05,7.4e-05,0.000208692,0.001160215,-0.042556104,-0.083094538,1.35e-06,0.003240647,-0.003092666,2.84e-17,7.43e-05,0.000110304,0.000156981,5.47e-05,-0.000367596,0.001823446,0.500814536,1.189687997,3.32e-06,0.008575411,-0.003898532,1.42e-17,0.315834281,0.903123801,1
5.4e-05,7.18e-05,0.000454868,0.001132049,-0.065993515,0.447859422,1.28e-06,0.003563544,-0.003766559,1.42e-17,7.34e-05,9.82e-05,-5.17e-05,-5.46e-06,-0.000926115,0.001888651,-0.247409133,-0.058290803,3.57e-06,0.004830909,-0.005416945,-2.13e-17,0.300477899,0.903123801,1
-2.52e-05,-0.000110825,-0.000398969,0.001072423,-0.11094764,0.410672697,1.15e-06,0.002940456,-0.003775877,-3.38e-17,7.89e-05,0.000118538,7.23e-05,0.000100012,-0.000513758,0.001796378,0.086665698,0.367530117,3.23e-06,0.005895689,-0.005464916,3.55e-17,0.337067299,0.903123801,1
6.36e-05,-2.1e-05,-0.001441203,0.001310751,0.280927978,-0.563794476,1.72e-06,0.003740119,-0.002669329,0.0,7.34e-05,9.82e-05,3.64e-05,-7.87e-05,0.001744194,0.003262228,-0.164455022,0.832852745,1.06e-05,0.00957445,-0.012648952,-4.31e-17,0.297131009,0.903123801,1
